host_name,src_mac,dest_port,type,network_transport,bytes_in,data_exfil,fn,ext,src_ip-1,src_ip-2,src_ip-3,src_ip-4
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,WqgiDNstW1eKu4oib3W0fiuyWTUKiGOo/KO9t9wRpZ7mcmTTFrKKj9pO3.7ccoXKJ5*e6Wvi2ECkVsKplIBgyGJB7ZX25N/v4sWttxHzkkSO2zcedrk.GiG0JL0/zVsR*tl5RcrPrMOpsv9kRAN*Yrpqmv4unHPu*S/Yaz7o/eNlF.k2S2K7MOmF0UWTlHU83hy4Op2/gWV9vxE5wsAAA==,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,BZ69J7vTx28YlzvVaQ7MKsJuH8sUxi8BXQMXIUuw6pr9rZaXpiirshU20.W4akMUtOQqhaFrZSf1X9246UjekNdBqg0TqyCgu9eIjFq2lIOGGQ27v1E.*30y0F30r2cjsh8JwQZyzhxGTFCR3E7Ow9SqXYY*tj9YhhukgFpcBZDPd.399mw329Fk3EhmygO4Pr9u3vnHbDusUbTPeZs/PXWdOs2gYJeWXkirOer,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,BZ69J7vTx28YlzvVaQ7MKsJuH8sUxi8BXQMXIUuw6pr9rZaXpiirshU20.W4akMUtOQqhaFrZSf1X9246UjekNdBqg0TqyCgu9eIjFq2lIOGGQ27v1E.*30y0F30r2cjsh8JwQZyzhxGTFCR3E7Ow9SqXYY*tj9YhhukgFpcBZDPd.399mw329Fk3EhmygO4Pr9u3vnHbDusUbTPeZs/PXWdOs2gYJeWXkirOer,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,BZ69J7vTx28YlzvVaQ7MKsJuH8sUxi8BXQMXIUuw6pr9rZaXpiirshU20.W4akMUtOQqhaFrZSf1X9246UjekNdBqg0TqyCgu9eIjFq2lIOGGQ27v1E.*30y0F30r2cjsh8JwQZyzhxGTFCR3E7Ow9SqXYY*tj9YhhukgFpcBZDPd.399mw329Fk3EhmygO4Pr9u3vnHbDusUbTPeZs/PXWdOs2gYJeWXkirOer,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,BZ69J7vTx28YlzvVaQ7MKsJuH8sUxi8BXQMXIUuw6pr9rZaXpiirshU20.W4akMUtOQqhaFrZSf1X9246UjekNdBqg0TqyCgu9eIjFq2lIOGGQ27v1E.*30y0F30r2cjsh8JwQZyzhxGTFCR3E7Ow9SqXYY*tj9YhhukgFpcBZDPd.399mw329Fk3EhmygO4Pr9u3vnHbDusUbTPeZs/PXWdOs2gYJeWXkirOer,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,BZ69J7vTx28YlzvVaQ7MKsJuH8sUxi8BXQMXIUuw6pr9rZaXpiirshU20.W4akMUtOQqhaFrZSf1X9246UjekNdBqg0TqyCgu9eIjFq2lIOGGQ27v1E.*30y0F30r2cjsh8JwQZyzhxGTFCR3E7Ow9SqXYY*tj9YhhukgFpcBZDPd.399mw329Fk3EhmygO4Pr9u3vnHbDusUbTPeZs/PXWdOs2gYJeWXkirOer,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,BZ69J7vTx28YlzvVaQ7MKsJuH8sUxi8BXQMXIUuw6pr9rZaXpiirshU20.W4akMUtOQqhaFrZSf1X9246UjekNdBqg0TqyCgu9eIjFq2lIOGGQ27v1E.*30y0F30r2cjsh8JwQZyzhxGTFCR3E7Ow9SqXYY*tj9YhhukgFpcBZDPd.399mw329Fk3EhmygO4Pr9u3vnHbDusUbTPeZs/PXWdOs2gYJeWXkirOer,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,Y6zXOsOSJdMpYhFscEcLR6kglMuIeIegnGVcJu*ByGJFG64MAcSrEsH7c.gJJOCA5tavYRqhpOV21*IgoWOVZTau6BcWbyqCj6Ae3fe180i2P3PDAm2.8bdjvOondp9P*BuGuFzQWlpdYlvNi7QBLTBwSZFqGH*3RdloLBBn/4gv7.FhbH5swGv4/BFfKfnDiydbAXvsrrV3PaLU4HSRM6dI8uWyt6Xo003ncGg,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,Y6zXOsOSJdMpYhFscEcLR6kglMuIeIegnGVcJu*ByGJFG64MAcSrEsH7c.gJJOCA5tavYRqhpOV21*IgoWOVZTau6BcWbyqCj6Ae3fe180i2P3PDAm2.8bdjvOondp9P*BuGuFzQWlpdYlvNi7QBLTBwSZFqGH*3RdloLBBn/4gv7.FhbH5swGv4/BFfKfnDiydbAXvsrrV3PaLU4HSRM6dI8uWyt6Xo003ncGg,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,Y6zXOsOSJdMpYhFscEcLR6kglMuIeIegnGVcJu*ByGJFG64MAcSrEsH7c.gJJOCA5tavYRqhpOV21*IgoWOVZTau6BcWbyqCj6Ae3fe180i2P3PDAm2.8bdjvOondp9P*BuGuFzQWlpdYlvNi7QBLTBwSZFqGH*3RdloLBBn/4gv7.FhbH5swGv4/BFfKfnDiydbAXvsrrV3PaLU4HSRM6dI8uWyt6Xo003ncGg,py,172,17,0,2
