"@timestamp","host.name","source.ip","destination.ip","related.ip","network.type","bytes_in","bytes_out",type,"dns.question.registered_domain","dns.question.top_level_domain",query,"source.port","destination.port",status
"Oct 25, 2022 @ 01:26:17.499",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, uNZzHsRSCvdLh0RKxkfrOR/NXwq3I4ektRd6ZM9n0C0upn0GVQNaUV9rm-.gMXD5NRyUHLRTdC/AcuVUy4P1dEu4itN6U2/bp2Jc077sEs740cCc7HmE-.CeaOPVNhZayzlo7oRhZGNqoFY62d586k3xzw9Yd0jTeenDcLKI4o9p7SO-.hPQv6TlOuMuNSn02mwPefKHqtQNHVEyNjJ1rG7TWH50SNvvAgWo40JaVL-.data.tar.gz",34001,53,OK
"Oct 25, 2022 @ 01:26:17.477",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, pz44E7PP7pFdVPsbP//P5n*97/cb1/HK/O/4FTc3/wf8/99/BTT/Kxhil-.iRR6PN*33PDAkrCYJRG0a9PRw7YSyJO5rh3AjGDkg4cVF5shCyhpAsHSm-.Iy3RUaAWMo6cnA911PkirSoAJVQx1K*jKwpFYoTkZ8EhL5RMlA2o5EMfP-.idVJz9kAzCp66igSBjNfLJJmL*XJSGBy4R8kqHCSSg5ZytsRGSh7DQWIm-.data.tar.gz",36603,53,OK
"Oct 25, 2022 @ 01:26:17.458",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, 7koGJ3aaPmTamc4eC8*utLuyJVlHZIg8SvrjpNvuPPSihR/WHpNms2PPu-.qeqn4y6w6HYPXZPQ/e*t57U1aDl9q8id3x34zzYRbUfCFS*g3Kn6uZuHr-.4O0JXDmqqwYfDKG8NK/KW1un0/WI6/icuT3qwxjiPvfBZP136yCRdfg/E-.0WNzfWj*7Q28VXX/v1M*cTXghgquw5ncW41bcDqvX3sLbXhztzpv967t2-.data.tar.gz",50783,53,OK
"Oct 25, 2022 @ 01:26:17.439",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, pVcAbTYP71b5j25vb*ODfwvYo73rZQFQmyo2/8l4XsShQC8KiA/CQegX0-.PhBzwowpduVO*DL3Ibz66SQK/MLzU0UTm5MfiFoukiPzGAZFQCJLv38J*-.nO7d7H7sf//vXVu9fDz6OPR29uln9*wb/8y/kbTD9/P/rrmVlM3r7sfnk-.T/fni/9q7tuW0YSD6K3SmD*0MjXyH6I3QBkJCArgTSt*4NTgBm3KLkq/v-.data.tar.gz",52015,53,OK
"Oct 25, 2022 @ 01:26:17.421",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, W//6xjAhehFCMC4pBvu41xeXQbSczcL5op0hGKMucREigtvwcc*kt3Um/-.jc1gtVSoXa5jczB*RBW9WVHE*L8F2Z*007LeGiJ7uMWYDawCe33zz/ss7-.f/L4r3eNaM48H93y7e7v*j9CNwLMBw/L7/7xgfW63eJz2sECc91FP20xO-.9Xu8kOdU3/9lgXPAgWkVFDwIv/8lIT03BS1NdgGYyK3phPMl/EpjbAiTL-.data.tar.gz",42025,53,OK
"Oct 25, 2022 @ 01:26:17.402",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, O*fEJ*1UAi3g1TEXhHAgyAWTqAgYRZWdk/FNdL0IqwyT/d7E5SO5dvKqQ-.ZUnXIkxlULYofAMOYGetnVdI1YUccQQBEBSZi15pKNf3TB4W9d8MQTKiN-.hpNBDYrFbSYSvndJhECHPGbK936d7SGL3QyWFWLR2AIFgx155hrogg2Th-.uEnp6YuLTulpI*SHP2mvlIBVHmCohiV20j9FeAHppJq1UIYe8hEk4GrVV-.data.tar.gz",57370,53,OK
"Oct 25, 2022 @ 01:26:17.382",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, keSGWd2CvnZMY0*Ri4ngDLQqR0TmT4it9SkoUWHskLE7wMrTdIjRACIxp-.F2PKdc9bhwD8ZcgUjHhgq7Ikj1sZ187oNaiv1UJYxqWWYUxkgioR5RIsh-.fNdM7H7Oqmj1rZk45v4Z/IqwYdJlDvhAok7dbYrIK/023sJhRzQjEljGC-.hRHbY0PhtpJgzqQRhCAnEpMw2uY4XZY0H44mdlm8j8Qei/qsoHFwZ71ce-.data.tar.gz",35264,53,OK
"Oct 25, 2022 @ 01:26:17.363",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, 8P7jm2l48wEfk59ISUkVIki4e6Hh38ezSgMILeAkOSYnMfjJLjCSchfh*-.4ON1gO6imb6Nrg0k5mZ9wf*wKUD4xNmFR41WBEwcki5vifA1uQM17WAo8-.e0uuDA210dEjxKvq*j1s5CsiuKINQfDLEY*pq6g*EQDRTyMVO*PbhLM4G-.QyRGFFrCznY3MW2Lv59NWDgS6RAkM1hMLKoCPWdsJ3AY88zbSfXAKJ5y2-.data.tar.gz",55151,53,OK
"Oct 25, 2022 @ 01:26:17.345",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, 4UgTbX7n92828uVMKMURB0dKYZLvY1*blT0ko888jRmyLjUhnuQGEYGG3-.hAaSkBooegxybZ5E1wExpG6yHWzzE6Pl28htyFUd6lVhghc1z2X1S5Rbi-.PNthuCHhHgsYJdz0aOd9NJK0k*EOzaZTdtpBkUnyuoC9raHoGcVXz2pAi-.Q6FYGj40r7M28QSmql0FK9z7NazA21cpsYtPFWPpRVyrXqm0JigQEhmcr-.data.tar.gz",52959,53,OK
"Oct 25, 2022 @ 01:26:17.326",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, sqp7YtpIMRdgaRiH3ohdzLK89leBnoyD63bSjQi1HgkBb2rPSCai3Uaqw-.asH4w5CzV1X7plJG563kWYOZpFJ1*7aJy7KeqyBji7DedBGsg95fpG3mL-.WRZoqopMgqPQJBIM7QbLw2UsylACeOcoqB4qyB2T1tvI2UEyJBLgQWmMm-.9QGwnx2QLKbfnk2HGCVYcS5brsE5D3x6r0vcwdSXQKMDHZUYMlNHC50A8-.data.tar.gz",59173,53,OK
"Oct 25, 2022 @ 01:26:17.307",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, jxIzOCLpVCHgNkcupkIxeo9ym2NinaPHJqcw80XUHxC7OxUj7LvU9Ti47-.mJg0zMMGDauZuyYrAchwdLl2FVEEZKl356n1kJxoRhYLqQrKSNEqHxpuY-.r6YP80VZpr36ald5HyXGXiTdnwvud7R1UkLkipC62OBMFZAZ/NzbCVfHY-.F4qC0uSSuhApkiN6cRN5CugXGhAtXgc0hKise26Oh20g4qBCiJBPgv2Ek-.data.tar.gz",33975,53,OK
"Oct 25, 2022 @ 01:26:17.288",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, *8UZN9KFLd25GdkXzs0CXG5rO34G1Z/A6Tms6wrJXaKoAjlQWEBJ67omS-.Dcn0K*PDOlTgwZcDeVQe4h71EPUZ5q4g4GvMYXbp7/88qlzHMJBECkFF4-.UwKmwq5wzlyWHLbaTapYIpJjmy5NMs0eCmtpJmrDCiTFGqMGMyQ7M94bW-.NJHOGMCOcKkkU3hMOm7rHztdfzZdBIuJ9j2jliiETBJmhUgxxMUTKV0RL-.data.tar.gz",39198,53,OK
"Oct 25, 2022 @ 01:26:17.266",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, cWBxRqvAuwSkK7tlUttRz*56eOf0Pp7N**uaWxCb8rnFc6gtS9vbNxfvv-.vz*1cWHty8uLt6/*f68Joru3f0pc*enT6s3ZTIO3nDbpRMgZbmyLl53M6-.XzmmXJWBd/WttsrnZa6fQHCKMsaKt3Eri/nPxUf/9/SP9n99I/zQoc1v*-.UIJdu9D8TcJ8wJtjv*v8Ynx9/Pv1iHEDYPbLC9tV4dOmkWUlPP3Xg0cTY-.data.tar.gz",40629,53,OK
