"@timestamp","source.ip","source.port","destination.ip","destination.port","network.packets","source.packets","destination.packets","network.bytes","source.bytes","destination.bytes","event.dataset"
"Oct 24, 2022 @ 02:30:59.996","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",104B,104B,"-",flow
"Oct 24, 2022 @ 02:30:59.996","172.18.0.3",56352,"172.18.0.2",22,122,74,48,"12.2KB","6.1KB","6.1KB",flow
"Oct 24, 2022 @ 02:30:49.997","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",104B,104B,"-",flow
"Oct 24, 2022 @ 02:30:49.997","172.18.0.3",56352,"172.18.0.2",22,39,23,16,"3.8KB","1.9KB","1.8KB",flow
"Oct 24, 2022 @ 02:25:50.002","172.18.0.3",56352,"172.18.0.2",22,59,36,23,"6.2KB",3KB,"3.2KB",flow
"Oct 24, 2022 @ 02:25:40.002","172.18.0.3",56352,"172.18.0.2",22,59,36,23,"6.2KB",3KB,"3.2KB",flow
"Oct 24, 2022 @ 02:25:30.003","172.18.0.3",56352,"172.18.0.2",22,59,36,23,"6.2KB",3KB,"3.2KB",flow
"Oct 24, 2022 @ 02:25:20.003","172.18.0.3",56352,"172.18.0.2",22,59,36,23,"6.2KB",3KB,"3.2KB",flow
"Oct 24, 2022 @ 02:25:10.004","172.18.0.3",56352,"172.18.0.2",22,55,34,21,"4.9KB","2.9KB",2KB,flow
"Oct 24, 2022 @ 02:16:50.001","172.18.0.3",56352,"172.18.0.2",22,"3,511","2,047","1,464","363.8KB","168.8KB",195KB,flow
"Oct 24, 2022 @ 02:16:40.004","172.18.0.3",56352,"172.18.0.2",22,"3,511","2,047","1,464","363.8KB","168.8KB",195KB,flow
"Oct 24, 2022 @ 02:16:30.002","172.18.0.3",56352,"172.18.0.2",22,"3,511","2,047","1,464","363.8KB","168.8KB",195KB,flow
"Oct 24, 2022 @ 02:16:20.003","172.18.0.3",56352,"172.18.0.2",22,"3,511","2,047","1,464","363.8KB","168.8KB",195KB,flow
"Oct 24, 2022 @ 02:16:10.004","172.18.0.3",56352,"172.18.0.2",22,"3,511","2,047","1,464","363.8KB","168.8KB",195KB,flow
"Oct 24, 2022 @ 02:16:00.003","172.18.0.3",56352,"172.18.0.2",22,"3,511","2,047","1,464","363.8KB","168.8KB",195KB,flow
"Oct 24, 2022 @ 02:15:50.003","172.18.0.3",56352,"172.18.0.2",22,"3,451","2,010","1,441","357.5KB","165.7KB","191.8KB",flow
"Oct 24, 2022 @ 02:15:40.093","172.18.0.3",56352,"172.18.0.2",22,"3,431","1,997","1,434","355.6KB","164.6KB",191KB,flow
"Oct 24, 2022 @ 02:15:30.004","172.18.0.3",56352,"172.18.0.2",22,"3,405","1,983","1,422","352.8KB","163.6KB","189.2KB",flow
"Oct 24, 2022 @ 02:15:20.002","172.18.0.3",56352,"172.18.0.2",22,"3,343","1,947","1,396","346.8KB","160.8KB",186KB,flow
"Oct 24, 2022 @ 02:15:10.004","172.18.0.3",56352,"172.18.0.2",22,"3,194","1,859","1,335","331.9KB","153.2KB","178.7KB",flow
"Oct 24, 2022 @ 02:15:00.002","172.18.0.3",56352,"172.18.0.2",22,"3,049","1,771","1,278","317.8KB","146.2KB","171.6KB",flow
"Oct 24, 2022 @ 02:14:50.003","172.18.0.3",56352,"172.18.0.2",22,"2,962","1,717","1,245","309.2KB","141.8KB","167.4KB",flow
"Oct 24, 2022 @ 02:14:40.004","172.18.0.3",56352,"172.18.0.2",22,"2,795","1,613","1,182","292.4KB","133.2KB","159.2KB",flow
"Oct 24, 2022 @ 02:14:30.004","172.18.0.3",56352,"172.18.0.2",22,"2,789","1,609","1,180","291.8KB","132.9KB","158.9KB",flow
"Oct 24, 2022 @ 02:14:20.001","172.18.0.3",56352,"172.18.0.2",22,"2,448","1,426","1,022","254.6KB","116.9KB","137.7KB",flow
"Oct 24, 2022 @ 02:14:10.004","172.18.0.3",56352,"172.18.0.2",22,"2,233","1,308",925,"230.1KB","107.2KB","122.9KB",flow
"Oct 24, 2022 @ 02:14:00.001","172.18.0.3",56352,"172.18.0.2",22,"2,233","1,308",925,"230.1KB","107.2KB","122.9KB",flow
"Oct 24, 2022 @ 02:13:50.001","172.18.0.3",56352,"172.18.0.2",22,"2,233","1,308",925,"230.1KB","107.2KB","122.9KB",flow
"Oct 24, 2022 @ 02:13:40.003","172.18.0.3",56352,"172.18.0.2",22,"2,233","1,308",925,"230.1KB","107.2KB","122.9KB",flow
"Oct 24, 2022 @ 02:13:30.003","172.18.0.3",56352,"172.18.0.2",22,"2,233","1,308",925,"230.1KB","107.2KB","122.9KB",flow
"Oct 24, 2022 @ 02:13:20.004","172.18.0.3",56352,"172.18.0.2",22,"2,186","1,280",906,"225.6KB",105KB,"120.6KB",flow
"Oct 24, 2022 @ 02:13:10.003","172.18.0.3",56352,"172.18.0.2",22,"1,813","1,066",747,"187.5KB","86.9KB","100.6KB",flow
"Oct 24, 2022 @ 02:13:00.004","172.18.0.3",56352,"172.18.0.2",22,"1,716","1,012",704,"174.9KB","82.8KB","92.2KB",flow
"Oct 24, 2022 @ 02:12:50.003","172.18.0.3",56352,"172.18.0.2",22,"1,573",928,645,"161.3KB","76.1KB","85.2KB",flow
"Oct 24, 2022 @ 02:12:40.002","172.18.0.3",56352,"172.18.0.2",22,"1,521",895,626,"156.1KB","73.3KB","82.8KB",flow
"Oct 24, 2022 @ 02:12:30.004","172.18.0.3",56352,"172.18.0.2",22,"1,314",785,529,"133.8KB","63.9KB","69.9KB",flow
"Oct 24, 2022 @ 02:12:20.004","172.18.0.3",56352,"172.18.0.2",22,"1,065",643,422,"106.1KB","52.1KB",54KB,flow
"Oct 24, 2022 @ 02:12:10.004","172.18.0.3",56352,"172.18.0.2",22,"1,065",643,422,"106.1KB","52.1KB",54KB,flow
"Oct 24, 2022 @ 02:12:00.001","172.18.0.3",56352,"172.18.0.2",22,"1,028",622,406,"102.6KB","50.2KB","52.3KB",flow
"Oct 24, 2022 @ 02:11:50.003","172.18.0.3",56352,"172.18.0.2",22,638,386,252,"63.2KB","30.6KB","32.7KB",flow
"Oct 24, 2022 @ 02:11:40.001","172.18.0.3",56352,"172.18.0.2",22,484,293,191,"45.4KB","23.2KB","22.3KB",flow
"Oct 24, 2022 @ 02:11:30.002","172.18.0.3",56352,"172.18.0.2",22,411,245,166,"38.8KB","19.2KB","19.6KB",flow
"Oct 24, 2022 @ 02:11:20.003","172.18.0.3",56352,"172.18.0.2",22,291,174,117,"27.4KB","13.7KB","13.8KB",flow
