"@timestamp","source.ip","source.port","destination.ip","destination.port","network.packets","source.packets","destination.packets","network.bytes","source.bytes","destination.bytes","event.dataset"
"Oct 24, 2022 @ 01:41:30.003","172.18.0.3",56352,"172.18.0.2",22,55,33,22,"5.4KB","2.7KB","2.7KB",flow
"Oct 24, 2022 @ 01:41:20.001","172.18.0.3",56352,"172.18.0.2",22,"1,187",714,473,"125.5KB","57.4KB","68.1KB",flow
"Oct 24, 2022 @ 01:41:10.004","172.18.0.3",56352,"172.18.0.2",22,"1,187",714,473,"125.5KB","57.4KB","68.1KB",flow
"Oct 24, 2022 @ 01:41:00.002","172.18.0.3",56352,"172.18.0.2",22,"1,187",714,473,"125.5KB","57.4KB","68.1KB",flow
"Oct 24, 2022 @ 01:40:50.002","172.18.0.3",56352,"172.18.0.2",22,"1,187",714,473,"125.5KB","57.4KB","68.1KB",flow
"Oct 24, 2022 @ 01:40:40.003","172.18.0.3",56352,"172.18.0.2",22,"1,110",670,440,"116.2KB",54KB,"62.2KB",flow
"Oct 24, 2022 @ 01:40:30.003","172.18.0.3",56352,"172.18.0.2",22,991,593,398,"104.4KB","47.5KB","56.9KB",flow
"Oct 24, 2022 @ 01:40:20.003","172.18.0.3",56352,"172.18.0.2",22,933,555,378,99KB,"44.4KB","54.6KB",flow
"Oct 24, 2022 @ 01:40:10.004","172.18.0.3",56352,"172.18.0.2",22,926,551,375,"98.4KB","44.1KB","54.3KB",flow
"Oct 24, 2022 @ 01:40:00.002","172.18.0.3",56352,"172.18.0.2",22,836,506,330,86KB,"41.1KB","44.9KB",flow
"Oct 24, 2022 @ 01:39:50.001","172.18.0.3",56352,"172.18.0.2",22,619,394,225,"59.2KB","33.4KB","25.8KB",flow
"Oct 24, 2022 @ 01:39:40.002","172.18.0.3",56352,"172.18.0.2",22,493,314,179,47KB,"26.7KB","20.3KB",flow
"Oct 24, 2022 @ 01:39:30.004","172.18.0.3",56352,"172.18.0.2",22,448,289,159,"41.8KB","24.7KB","17.1KB",flow
"Oct 24, 2022 @ 01:39:20.004","172.18.0.3",56352,"172.18.0.2",22,391,252,139,"36.5KB","21.7KB","14.9KB",flow
"Oct 24, 2022 @ 01:39:10.004","172.18.0.3",56352,"172.18.0.2",22,3,2,1,516B,292B,224B,flow
"Oct 24, 2022 @ 01:38:50.005","172.18.0.3",56352,"172.18.0.2",22,670,440,230,63KB,"36.6KB","26.4KB",flow
"Oct 24, 2022 @ 01:38:40.004","172.18.0.3",56352,"172.18.0.2",22,670,440,230,63KB,"36.6KB","26.4KB",flow
"Oct 24, 2022 @ 01:38:30.004","172.18.0.3",56352,"172.18.0.2",22,670,440,230,63KB,"36.6KB","26.4KB",flow
"Oct 24, 2022 @ 01:38:20.004","172.18.0.3",56352,"172.18.0.2",22,670,440,230,63KB,"36.6KB","26.4KB",flow
"Oct 24, 2022 @ 01:38:10.004","172.18.0.3",56352,"172.18.0.2",22,653,429,224,"61.5KB","35.7KB","25.8KB",flow
"Oct 24, 2022 @ 01:38:00.004","172.18.0.3",56352,"172.18.0.2",22,587,385,202,"55.5KB",32KB,"23.5KB",flow
"Oct 24, 2022 @ 01:37:50.002","172.18.0.3",56352,"172.18.0.2",22,554,363,191,"52.5KB","30.2KB","22.4KB",flow
"Oct 24, 2022 @ 01:37:40.004","172.18.0.3",56352,"172.18.0.2",22,491,322,169,"46.7KB","26.8KB","19.9KB",flow
"Oct 24, 2022 @ 01:37:30.004","172.18.0.3",56352,"172.18.0.2",22,455,298,157,"43.4KB","24.7KB","18.6KB",flow
"Oct 24, 2022 @ 01:37:20.002","172.18.0.3",56352,"172.18.0.2",22,413,270,143,"39.6KB","22.4KB","17.2KB",flow
"Oct 24, 2022 @ 01:37:10.004","172.18.0.3",56352,"172.18.0.2",22,344,225,119,"32.3KB","18.7KB","13.6KB",flow
"Oct 24, 2022 @ 01:37:00.004","172.18.0.3",56352,"172.18.0.2",22,249,162,87,"23.7KB","13.4KB","10.3KB",flow
"Oct 24, 2022 @ 01:36:50.004","172.18.0.3",56352,"172.18.0.2",22,148,95,53,"14.5KB","7.8KB","6.7KB",flow
"Oct 24, 2022 @ 01:36:40.004","172.18.0.3",56352,"172.18.0.2",22,43,28,15,"4.2KB","2.3KB","1.9KB",flow
"Oct 24, 2022 @ 01:36:30.002","172.18.0.3",56352,"172.18.0.2",22,31,20,11,"3.1KB","1.6KB","1.5KB",flow
"Oct 24, 2022 @ 01:36:20.004","172.18.0.3",56352,"172.18.0.2",22,13,8,5,"1.5KB",652B,888B,flow
"Oct 24, 2022 @ 01:32:50.005","172.18.0.2",47346,"172.18.0.3",22,"23,803","11,234","12,569","175.4MB","174.6MB","893.7KB",flow
"Oct 24, 2022 @ 01:32:40.004","172.18.0.2",47346,"172.18.0.3",22,"23,803","11,234","12,569","175.4MB","174.6MB","893.7KB",flow
"Oct 24, 2022 @ 01:32:30.004","172.18.0.2",47346,"172.18.0.3",22,"23,803","11,234","12,569","175.4MB","174.6MB","893.7KB",flow
"Oct 24, 2022 @ 01:32:20.004","172.18.0.2",47346,"172.18.0.3",22,"23,803","11,234","12,569","175.4MB","174.6MB","893.7KB",flow
"Oct 24, 2022 @ 01:32:10.003","172.18.0.2",47346,"172.18.0.3",22,"23,803","11,234","12,569","175.4MB","174.6MB","893.7KB",flow
"Oct 24, 2022 @ 01:32:00.001","172.18.0.2",47346,"172.18.0.3",22,"5,363","2,601","2,762","39.1MB","38.9MB","198.5KB",flow
"Oct 24, 2022 @ 01:31:50.004","172.18.0.2",47330,"172.18.0.3",22,28,15,13,5KB,"2.5KB","2.5KB",flow
"Oct 24, 2022 @ 01:31:50.004","172.18.0.2",47332,"172.18.0.3",22,32,17,15,"5.7KB",3KB,"2.7KB",flow
"Oct 24, 2022 @ 01:31:50.004","172.18.0.2",47334,"172.18.0.3",22,49,25,24,"8.3KB","4.3KB",4KB,flow
"Oct 24, 2022 @ 01:31:40.004","172.18.0.2",47330,"172.18.0.3",22,28,15,13,5KB,"2.5KB","2.5KB",flow
"Oct 24, 2022 @ 01:31:40.004","172.18.0.2",47332,"172.18.0.3",22,32,17,15,"5.7KB",3KB,"2.7KB",flow
"Oct 24, 2022 @ 01:31:40.004","172.18.0.2",47334,"172.18.0.3",22,49,25,24,"8.3KB","4.3KB",4KB,flow
"Oct 24, 2022 @ 01:31:30.004","172.18.0.2",47330,"172.18.0.3",22,28,15,13,5KB,"2.5KB","2.5KB",flow
"Oct 24, 2022 @ 01:31:30.004","172.18.0.2",47332,"172.18.0.3",22,32,17,15,"5.7KB",3KB,"2.7KB",flow
"Oct 24, 2022 @ 01:31:30.004","172.18.0.2",47334,"172.18.0.3",22,49,25,24,"8.3KB","4.3KB",4KB,flow
"Oct 24, 2022 @ 01:31:20.003","172.18.0.2",47330,"172.18.0.3",22,28,15,13,5KB,"2.5KB","2.5KB",flow
"Oct 24, 2022 @ 01:31:20.003","172.18.0.2",47332,"172.18.0.3",22,32,17,15,"5.7KB",3KB,"2.7KB",flow
"Oct 24, 2022 @ 01:31:20.003","172.18.0.2",47334,"172.18.0.3",22,49,25,24,"8.3KB","4.3KB",4KB,flow
"Oct 24, 2022 @ 01:31:10.004","172.18.0.2",47330,"172.18.0.3",22,28,15,13,5KB,"2.5KB","2.5KB",flow
"Oct 24, 2022 @ 01:31:10.004","172.18.0.2",47332,"172.18.0.3",22,32,17,15,"5.7KB",3KB,"2.7KB",flow
"Oct 24, 2022 @ 01:31:10.004","172.18.0.2",47334,"172.18.0.3",22,49,25,24,"8.3KB","4.3KB",4KB,flow
"Oct 24, 2022 @ 01:30:20.004","172.18.0.3",56352,"172.18.0.2",22,865,435,430,"96.7KB","29.2KB","67.5KB",flow
"Oct 24, 2022 @ 01:30:10.003","172.18.0.3",56352,"172.18.0.2",22,865,435,430,"96.7KB","29.2KB","67.5KB",flow
"Oct 24, 2022 @ 01:30:00.004","172.18.0.3",56352,"172.18.0.2",22,865,435,430,"96.7KB","29.2KB","67.5KB",flow
"Oct 24, 2022 @ 01:29:50.004","172.18.0.3",56352,"172.18.0.2",22,865,435,430,"96.7KB","29.2KB","67.5KB",flow
"Oct 24, 2022 @ 01:29:40.004","172.18.0.3",56352,"172.18.0.2",22,839,422,417,"93.9KB","28.3KB","65.6KB",flow
"Oct 24, 2022 @ 01:29:30.001","172.18.0.3",56352,"172.18.0.2",22,519,262,257,"59.5KB","17.7KB","41.8KB",flow
"Oct 24, 2022 @ 01:29:20.002","172.18.0.3",56352,"172.18.0.2",22,277,141,136,"33.7KB","9.6KB",24KB,flow
"Oct 24, 2022 @ 01:29:10.004","172.18.0.3",56352,"172.18.0.2",22,229,117,112,"28.5KB","8.1KB","20.5KB",flow
"Oct 24, 2022 @ 01:29:00.002","172.18.0.3",56352,"172.18.0.2",22,35,21,14,"3.7KB","1.7KB",2KB,flow
"Oct 24, 2022 @ 01:28:50.005","172.18.0.3",56352,"172.18.0.2",22,21,13,8,"2.3KB","1.1KB","1.2KB",flow
"Oct 24, 2022 @ 01:28:40.004","172.18.0.3",56352,"172.18.0.2",22,21,13,8,"2.3KB","1.1KB","1.2KB",flow
"Oct 24, 2022 @ 01:27:50.003","172.18.0.3",56352,"172.18.0.2",22,44,29,15,4KB,"2.4KB","1.6KB",flow
"Oct 24, 2022 @ 01:27:40.003","172.18.0.3",56352,"172.18.0.2",22,44,29,15,4KB,"2.4KB","1.6KB",flow
"Oct 24, 2022 @ 01:27:30.005","172.18.0.3",56352,"172.18.0.2",22,44,29,15,4KB,"2.4KB","1.6KB",flow
"Oct 24, 2022 @ 01:27:20.004","172.18.0.3",56352,"172.18.0.2",22,44,29,15,4KB,"2.4KB","1.6KB",flow
"Oct 24, 2022 @ 01:27:10.002","172.18.0.3",56352,"172.18.0.2",22,44,29,15,4KB,"2.4KB","1.6KB",flow
"Oct 24, 2022 @ 01:27:00.004","172.18.0.3",56352,"172.18.0.2",22,44,29,15,4KB,"2.4KB","1.6KB",flow
"Oct 24, 2022 @ 01:26:50.004","172.18.0.3",56352,"172.18.0.2",22,21,14,7,"1.9KB","1.2KB",728B,flow
"Oct 24, 2022 @ 01:22:20.004","172.18.0.3",56352,"172.18.0.2",22,229,140,89,"22.6KB","11.7KB","10.9KB",flow
"Oct 24, 2022 @ 01:22:10.005","172.18.0.3",56352,"172.18.0.2",22,229,140,89,"22.6KB","11.7KB","10.9KB",flow
"Oct 24, 2022 @ 01:22:00.003","172.18.0.3",56352,"172.18.0.2",22,229,140,89,"22.6KB","11.7KB","10.9KB",flow
"Oct 24, 2022 @ 01:21:50.003","172.18.0.3",56352,"172.18.0.2",22,229,140,89,"22.6KB","11.7KB","10.9KB",flow
"Oct 24, 2022 @ 01:21:40.001","172.18.0.3",56352,"172.18.0.2",22,214,131,83,"20.5KB",11KB,"9.5KB",flow
"Oct 24, 2022 @ 01:21:30.003","172.18.0.3",56352,"172.18.0.2",22,117,71,46,"11.6KB",6KB,"5.5KB",flow
"Oct 24, 2022 @ 01:18:50.004","172.18.0.3",56352,"172.18.0.2",22,863,520,343,91KB,"45.2KB","45.8KB",flow
"Oct 24, 2022 @ 01:18:40.002","172.18.0.3",56352,"172.18.0.2",22,863,520,343,91KB,"45.2KB","45.8KB",flow
"Oct 24, 2022 @ 01:18:30.002","172.18.0.3",56352,"172.18.0.2",22,863,520,343,91KB,"45.2KB","45.8KB",flow
"Oct 24, 2022 @ 01:18:20.004","172.18.0.3",56352,"172.18.0.2",22,863,520,343,91KB,"45.2KB","45.8KB",flow
"Oct 24, 2022 @ 01:18:10.004","172.18.0.3",56352,"172.18.0.2",22,777,466,311,"82.5KB","40.7KB","41.8KB",flow
"Oct 24, 2022 @ 01:18:00.004","172.18.0.3",56352,"172.18.0.2",22,763,458,305,"81.1KB","40.1KB",41KB,flow
"Oct 24, 2022 @ 01:17:50.002","172.18.0.3",56352,"172.18.0.2",22,728,437,291,"77.8KB","38.4KB","39.4KB",flow
"Oct 24, 2022 @ 01:17:40.001","172.18.0.3",56352,"172.18.0.2",22,692,415,277,"74.4KB","36.7KB","37.8KB",flow
"Oct 24, 2022 @ 01:17:30.004","172.18.0.3",56352,"172.18.0.2",22,692,415,277,"74.4KB","36.7KB","37.8KB",flow
"Oct 24, 2022 @ 01:17:20.004","172.18.0.3",56352,"172.18.0.2",22,692,415,277,"74.4KB","36.7KB","37.8KB",flow
"Oct 24, 2022 @ 01:17:10.005","172.18.0.3",56352,"172.18.0.2",22,692,415,277,"74.4KB","36.7KB","37.8KB",flow
"Oct 24, 2022 @ 01:17:00.003","172.18.0.3",56352,"172.18.0.2",22,677,406,271,"72.9KB",36KB,37KB,flow
"Oct 24, 2022 @ 01:16:50.002","172.18.0.3",56352,"172.18.0.2",22,653,391,262,"70.5KB","34.8KB","35.7KB",flow
"Oct 24, 2022 @ 01:16:40.003","172.18.0.3",56352,"172.18.0.2",22,615,368,247,"66.8KB","32.9KB","33.9KB",flow
"Oct 24, 2022 @ 01:16:30.002","172.18.0.3",56352,"172.18.0.2",22,557,333,224,"61.2KB","30.2KB","31.1KB",flow
"Oct 24, 2022 @ 01:16:20.005","172.18.0.3",56352,"172.18.0.2",22,431,256,175,"47.6KB","23.9KB","23.7KB",flow
"Oct 24, 2022 @ 01:16:10.004","172.18.0.3",56352,"172.18.0.2",22,323,185,138,"37.7KB",18KB,"19.7KB",flow
"Oct 24, 2022 @ 01:16:00.003","172.18.0.3",56352,"172.18.0.2",22,268,149,119,"32.7KB",15KB,"17.7KB",flow
"Oct 24, 2022 @ 01:15:50.001","172.18.0.3",56352,"172.18.0.2",22,133,69,64,"18.8KB","8.1KB","10.6KB",flow
"Oct 24, 2022 @ 01:15:40.004","172.18.0.3",56352,"172.18.0.2",22,82,43,39,"11.9KB","6.3KB","5.7KB",flow
"Oct 24, 2022 @ 01:14:50.004","172.18.0.3",56270,"172.18.0.2",22,591,329,262,"69.9KB","27.5KB","42.4KB",flow
"Oct 24, 2022 @ 01:14:40.001","172.18.0.3",56270,"172.18.0.2",22,591,329,262,"69.9KB","27.5KB","42.4KB",flow
"Oct 24, 2022 @ 01:14:30.002","172.18.0.3",56270,"172.18.0.2",22,591,329,262,"69.9KB","27.5KB","42.4KB",flow
"Oct 24, 2022 @ 01:14:20.003","172.18.0.3",56270,"172.18.0.2",22,591,329,262,"69.9KB","27.5KB","42.4KB",flow
"Oct 24, 2022 @ 01:14:10.002","172.18.0.3",56270,"172.18.0.2",22,591,329,262,"69.9KB","27.5KB","42.4KB",flow
"Oct 24, 2022 @ 01:14:00.002","172.18.0.3",56270,"172.18.0.2",22,591,329,262,"69.9KB","27.5KB","42.4KB",flow
"Oct 24, 2022 @ 01:13:50.001","172.18.0.3",56270,"172.18.0.2",22,415,241,174,"48.5KB","21.6KB","26.8KB",flow
"Oct 24, 2022 @ 01:13:40.004","172.18.0.3",56270,"172.18.0.2",22,315,190,125,"36.6KB","18.2KB","18.4KB",flow
"Oct 24, 2022 @ 01:13:30.003","172.18.0.3",56270,"172.18.0.2",22,315,190,125,"36.6KB","18.2KB","18.4KB",flow
"Oct 24, 2022 @ 01:13:20.004","172.18.0.3",56270,"172.18.0.2",22,278,167,111,"32.5KB","16.3KB","16.2KB",flow
"Oct 24, 2022 @ 01:13:10.004","172.18.0.3",56270,"172.18.0.2",22,278,167,111,"32.5KB","16.3KB","16.2KB",flow
"Oct 24, 2022 @ 01:13:00.004","172.18.0.3",56270,"172.18.0.2",22,232,141,91,"27.4KB","14.2KB","13.2KB",flow
"Oct 24, 2022 @ 01:12:50.004","172.18.0.3",56270,"172.18.0.2",22,142,81,61,"19.3KB","9.2KB","10.1KB",flow
"Oct 24, 2022 @ 01:12:40.004","172.18.0.3",56270,"172.18.0.2",22,109,61,48,"15.7KB","7.6KB","8.1KB",flow
"Oct 24, 2022 @ 01:12:30.003","172.18.0.3",56270,"172.18.0.2",22,96,53,43,"14.4KB",7KB,"7.4KB",flow
"Oct 24, 2022 @ 01:12:20.002","172.18.0.3",56270,"172.18.0.2",22,54,30,24,"9.6KB","5.2KB","4.4KB",flow
"Oct 24, 2022 @ 01:12:10.004","172.18.0.3",56270,"172.18.0.2",22,42,22,20,"8.5KB","4.5KB",4KB,flow
"Oct 24, 2022 @ 01:11:20.004","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",76B,76B,"-",flow
"Oct 24, 2022 @ 01:11:10.003","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",76B,76B,"-",flow
"Oct 24, 2022 @ 01:11:00.003","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",76B,76B,"-",flow
"Oct 24, 2022 @ 01:10:50.001","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",76B,76B,"-",flow
"Oct 24, 2022 @ 01:10:40.001","172.17.0.1",35104,"172.17.0.4",22,1,1,"-",76B,76B,"-",flow
"Oct 24, 2022 @ 01:06:51.362","172.18.0.3",37633,"172.18.0.2",22,3,2,1,176B,116B,60B,flow
"Oct 24, 2022 @ 01:05:49.452","172.18.0.3",37633,"172.18.0.2",22,3,2,1,176B,116B,60B,flow
"Oct 24, 2022 @ 01:04:34.428","172.18.0.3",37633,"172.18.0.2",22,3,2,1,176B,116B,60B,flow
"Oct 24, 2022 @ 01:03:40.004","172.18.0.3",37633,"172.18.0.2",22,3,2,1,176B,116B,60B,flow
